scenario,strategy,concurrency,backend_ms,iteration,actual_loads,expected_loads,duplicate_loads,amplification,throughput,p50_ms,p95_ms,p99_ms,max_ms,lock_contentions,unrelated_key_wait_ms,flights_created,coalesced_callers,peak_waiters,ttl_ms,request_count,successful_requests,cache_hits,cache_misses,peak_concurrent_loads,lock_acquisitions,lock_wait_ms,unrelated_key_contentions,coalescing_ratio,b_request_latency_ms,shuffle_seed,wave_offset_ms
HotKeyBurst,SingleFlight,32,100,2,1,1,0,1,307.00302685796788,104.14319999999999,104.1733,104.2159,104.2159,0,0,1,31,31,1000,32,32,0,32,1,0,0,0,0.96875,0,,0
HotKeyBurst,SingleFlight,32,100,3,1,1,0,1,308.0424097387608,103.84059999999999,103.8509,103.8723,103.8723,0,0,1,31,31,1000,32,32,0,32,1,0,0,0,0.96875,0,,0
HotKeyBurst,SingleFlight,32,100,4,1,1,0,1,316.10308121478414,101.2086,101.2208,101.2242,101.2242,0,0,1,31,31,1000,32,32,0,32,1,0,0,0,0.96875,0,,0
HotKeyBurst,SingleFlight,32,100,5,1,1,0,1,308.44384297895067,103.6313,103.6478,103.7103,103.7103,0,0,1,31,31,1000,32,32,0,32,1,0,0,0,0.96875,0,,0
HotKeyBurst,NaiveCacheAside,64,100,1,64,1,63,64,578.01536617725026,110.4136,110.47199999999999,110.64019999999999,110.64019999999999,0,0,0,0,0,1000,64,64,0,64,64,0,0,0,0,0,,0
HotKeyBurst,NaiveCacheAside,64,100,2,64,1,63,64,606.06347567933562,105.49209999999999,105.521,105.5472,105.5472,0,0,0,0,0,1000,64,64,0,64,64,0,0,0,0,0,,0
HotKeyBurst,NaiveCacheAside,64,100,3,64,1,63,64,577.50787305655069,110.6086,110.66070000000001,110.7157,110.7157,0,0,0,0,0,1000,64,64,0,64,64,0,0,0,0,0,,0
HotKeyBurst,NaiveCacheAside,64,100,4,64,1,63,64,577.4693129197932,110.6048,110.6395,110.72669999999999,110.72669999999999,0,0,0,0,0,1000,64,64,0,64,64,0,0,0,0,0,,0
HotKeyBurst,NaiveCacheAside,64,100,5,64,1,63,64,579.68756651688386,110.2582,110.2931,110.34699999999999,110.34699999999999,0,0,0,0,0,1000,64,64,0,64,64,0,0,0,0,0,,0
HotKeyBurst,GlobalLock,64,100,1,1,1,0,1,607.76245604405517,105.0089,105.128,105.13,105.13,63,0,0,0,0,1000,64,64,0,64,1,64,6615.9331000000002,0,0,0,,0
HotKeyBurst,GlobalLock,64,100,2,1,1,0,1,626.33953474716441,101.9787,102.0017,102.0197,102.0197,63,0,0,0,0,1000,64,64,0,64,1,64,6422.8212000000003,0,0,0,,0
HotKeyBurst,GlobalLock,64,100,3,1,1,0,1,585.54115896893518,109.1802,109.21120000000001,109.2118,109.2118,63,0,0,0,0,1000,64,64,0,64,1,64,6878.4721,0,0,0,,0
